2026-02-26T23:46:25.405Z, frame_1772149583078.jpg, 0.0000%
2026-02-26T23:46:48.172Z, frame_1772149606397.jpg, 0.0000%
2026-02-26T23:46:58.926Z, frame_1772149617163.jpg, 0.0000%
2026-02-26T23:47:10.457Z, frame_1772149627925.jpg, 1.5242%
2026-02-26T23:47:22.268Z, frame_1772149639441.jpg, 1.5670%
2026-02-26T23:47:32.114Z, frame_1772149651269.jpg, 0.5649%
2026-02-26T23:47:41.967Z, frame_1772149661121.jpg, 0.7014%
2026-02-26T23:47:51.724Z, frame_1772149670952.jpg, 0.6378%
2026-02-26T23:48:13.115Z, frame_1772149692526.jpg, 0.0510%
2026-02-26T23:48:23.639Z, frame_1772149702028.jpg, 0.6300%
2026-02-26T23:48:33.472Z, frame_1772149712537.jpg, 0.5143%
2026-02-26T23:48:43.717Z, frame_1772149722408.jpg, 0.5662%
2026-02-26T23:48:54.233Z, frame_1772149732641.jpg, 0.3859%
2026-02-26T23:49:04.970Z, frame_1772149743162.jpg, 0.4637%
2026-02-26T23:49:15.277Z, frame_1772149753901.jpg, 0.3589%
2026-02-26T23:49:25.786Z, frame_1772149764226.jpg, 0.4309%
2026-02-26T23:49:36.576Z, frame_1772149774728.jpg, 0.4589%
2026-02-26T23:49:46.959Z, frame_1772149785542.jpg, 0.0000%
2026-02-26T23:49:58.049Z, frame_1772149795965.jpg, 0.0000%
2026-02-26T23:50:20.738Z, frame_1772149819025.jpg, 0.0000%
2026-02-26T23:50:31.388Z, frame_1772149829736.jpg, 0.0000%
2026-02-26T23:50:42.489Z, frame_1772149840401.jpg, 0.0000%
2026-02-26T23:50:53.039Z, frame_1772149851488.jpg, 0.0000%
2026-02-26T23:51:03.504Z, frame_1772149862018.jpg, 0.0000%
2026-02-26T23:51:14.309Z, frame_1772149872517.jpg, 0.0000%
2026-02-26T23:51:24.829Z, frame_1772149883332.jpg, 0.0000%
